srcport,dstport,protocol,packets,bytes,duration,anomaly
37667,3389,6,167,125083,87,0
41613,22,17,373,288329,64,0
44510,443,17,187,69003,82,0
23830,53,17,289,306629,102,0
35593,80,6,320,114560,78,0
36584,22,17,319,395879,32,0
62928,3389,17,74,111000,110,0
4359,3389,17,19,3553,79,1
3328,443,17,303,361479,88,0
50981,3389,17,188,189128,77,0
2758,443,6,464,23664,34,1
57418,22,6,190,234460,66,0
62913,443,17,84,61908,92,0
9947,53,17,103,50573,108,0
15274,80,17,17,14722,112,0
6545,3389,6,98,78204,55,0
27885,22,17,131,124843,110,0
20977,3389,6,499,593311,89,1
45036,22,6,252,131292,43,0
58602,3389,17,369,147969,38,0
6395,22,6,386,172542,44,0
17319,22,6,248,180296,57,0
56077,53,17,188,180480,95,0
34037,3389,17,243,18711,94,0
15165,3389,6,192,138816,115,1
58112,80,17,345,127995,60,0
41738,22,6,275,49775,111,0
38799,22,6,184,241224,72,0
17321,443,17,307,283054,70,0
23715,443,6,130,164190,69,0
64306,80,6,23,18929,72,0
14655,443,17,100,117500,82,0
25352,80,17,277,335447,88,0
50846,3389,6,149,43955,66,0
4430,443,6,210,108150,112,0
28426,3389,17,75,99975,74,0
11164,53,17,91,116389,76,0
60551,22,6,183,266814,103,0
61703,3389,6,333,131868,38,0
22151,3389,6,203,198534,54,0
46270,80,6,133,75145,67,0
57192,443,6,49,33761,83,0
24406,22,17,433,420010,57,0
23557,443,17,44,2948,71,0
41896,443,6,6,8994,54,0
48218,80,17,64,78080,116,0
33687,53,6,143,77363,89,0
27699,22,17,122,55754,108,0
46781,3389,6,122,22448,78,0
64831,22,17,301,40334,100,0
29293,22,17,43,36335,115,0
42087,443,6,311,192509,101,0
42444,22,6,260,66820,30,0
40297,22,17,403,109616,75,0
53629,3389,17,77,104566,114,0
37208,3389,17,203,138852,48,0
19110,22,6,168,197736,72,0
33275,443,6,391,492660,76,0
4906,3389,6,390,354510,44,0
18879,22,6,489,624453,56,1
39262,22,6,446,307740,105,0
54671,443,17,44,36168,73,0
14887,22,17,48,10608,105,0
39138,22,17,343,277144,49,0
62130,3389,17,338,351182,86,0
35389,443,17,210,21840,41,0
17016,3389,6,179,60860,43,0
43584,22,6,194,241336,89,0
10857,80,6,439,355151,53,0
58617,443,17,68,74528,109,0
58954,3389,6,436,362316,112,1
24091,443,17,199,50148,104,0
33265,3389,17,134,184250,36,0
57764,80,6,297,395604,31,0
30642,3389,6,161,36869,93,0
30997,22,6,68,39984,81,0
8534,443,17,129,15351,79,0
10931,53,6,208,143728,80,0
34913,80,6,194,19788,65,0
57691,22,6,338,89570,51,0
26876,80,6,120,174840,37,0
54997,53,17,451,582241,57,0
2979,80,17,89,24564,120,0
19699,3389,17,307,232706,65,0
20324,3389,17,353,210741,38,0
39598,80,17,319,267322,113,0
45843,53,17,420,451500,36,0
5470,3389,17,435,185310,112,0
62985,22,17,119,99722,94,0
14348,80,17,132,180180,42,0
64906,80,6,252,84168,58,0
15740,443,6,174,159558,97,0
31912,80,6,137,147001,46,0
1915,22,17,25,24275,84,0
9678,80,6,179,69094,114,0
21455,80,6,65,59020,95,0
29702,443,17,339,200688,83,0
58124,80,17,152,26752,78,0
15470,22,6,459,263925,35,0
45962,53,6,384,210048,97,0
30033,3389,6,138,192096,85,0
50004,22,17,351,71955,102,0
19307,53,6,106,46640,84,0
47266,22,6,159,176490,75,0
32933,443,17,489,622497,80,0
36364,3389,6,18,19890,75,0
9276,22,17,296,13024,84,0
52577,3389,6,267,262995,93,0
42904,22,17,493,227766,70,0
33296,3389,17,39,17082,66,0
49739,80,6,292,143664,102,0
38554,443,6,373,314812,74,0
34715,80,17,73,38690,89,0
39188,53,6,149,192955,61,0
42862,3389,17,57,7182,41,0
48335,53,6,132,133056,80,0
19884,3389,17,159,11130,96,0
21704,53,17,360,365040,62,0
27322,3389,17,271,304875,53,0
62546,3389,6,34,19992,117,1
36103,22,6,93,126201,44,0
45410,22,17,137,56170,78,0
35397,80,6,295,212990,81,0
49658,80,17,269,112442,86,0
3803,53,17,291,216795,104,0
39655,3389,6,140,138460,116,0
55683,80,6,186,106578,38,0
1137,80,17,448,56000,72,0
48168,53,6,277,380321,85,0
6562,53,6,127,109347,32,0
59319,443,6,323,472872,56,0
52334,3389,6,136,184416,78,0
18465,22,6,483,610029,89,0
15580,3389,17,420,569100,108,1
51585,443,17,415,581415,39,0
59185,443,17,93,39525,77,0
65039,80,17,230,204240,41,0
8516,443,17,34,16592,77,0
28073,80,17,460,107180,52,0
