srcport,dstport,protocol,packets,bytes,duration
35397,80,6,295,212990,81
49658,80,17,269,112442,86
3803,53,17,291,216795,104
39655,3389,6,140,138460,116
55683,80,6,186,106578,38
1137,80,17,448,56000,72
48168,53,6,277,380321,85
6562,53,6,127,109347,32
59319,443,6,323,472872,56
52334,3389,6,136,184416,78
18465,22,6,483,610029,89
15580,3389,17,420,569100,108
51585,443,17,415,581415,39
59185,443,17,93,39525,77
65039,80,17,230,204240,41
8516,443,17,34,16592,77
28073,80,17,460,107180,52
